"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,335.6975,335.6976,335.6976,336.0467,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5873,332.7038,335.6973,0,38,38,39,1,28,35,NA,NA,NA,NA,NA,1,39,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,339.0615,339.0617,339.0618,339.4104,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.702,336.0483,339.0612,0,39,39,66,1,60,29,NA,NA,NA,NA,NA,1,40,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,342.407,342.407,342.407,342.7571,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.913,339.4137,342.4068,0,40,40,0,1,7,25,NA,NA,NA,NA,NA,1,41,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,345.7552,345.7553,345.7553,346.1038,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2687,342.7606,345.7549,0,41,41,65,1,50,54,NA,NA,NA,NA,NA,1,42,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,349.1012,349.1012,349.1013,349.4508,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2941,346.1062,349.101,0,42,42,75,1,90,40,NA,NA,NA,NA,NA,1,43,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,352.4484,352.4485,352.4485,352.7971,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.0734,349.4536,352.4481,0,43,43,11,1,10,32,NA,NA,NA,NA,NA,1,44,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,355.8108,355.8108,355.8108,356.1611,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.537,352.7991,355.8106,0,44,44,44,1,30,29,NA,NA,NA,NA,NA,1,45,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,359.1584,359.1585,359.1585,359.5075,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1457,356.1646,359.1582,0,45,45,31,1,25,29,NA,NA,NA,NA,NA,1,46,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,362.5052,362.5053,362.5053,362.8537,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0936,359.5104,362.505,0,46,46,100,1,180,46,NA,NA,NA,NA,NA,1,47,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,365.852,365.852,365.852,366.2013,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8256,362.8555,365.8516,0,47,47,24,1,21,26,NA,NA,NA,NA,NA,1,48,"binary"
